Name,Genre,Duration,Rating,Voting
The Ministry of Ungentlemanly Warfare,War,122,6.8,138000
The Six Triple Eight,War,127,6.7,28000
Dirty Angels,War,104,4.4,3800
Nr. 24,War,111,7.5,16000
Blitz,War,120,6.2,17000
William Tell,War,134,5.7,3000
My Dead Friend Zoe,War,103,6.5,2700
Uprising,War,126,6.6,5800
Goebbels and the Führer,War,135,6.7,2500
Amaran,War,167,8.1,19000
Chandu Champion,War,142,7.8,34000
Without Blood,War,91,7.4,110
Bau: Artist at War,War,130,7.3,63
Before Dawn,War,101,5.4,1100
The Witch: Revenge,War,100,5.3,869
Ka Whawhai Tonu,War,115,7.3,194
Decoded,War,156,5.7,458
Quisling: The Final Days,War,146,7.1,1300
Escape from Germany,War,97,5.4,1100
The Friendly,War,101,8.2,17
Battlefield,War,104,6.2,696
24 Hours to D-Day,War,83,3.5,81
"Canadian, Sniper",War,83,3.3,364
Conquer: Lahad Datu,War,120,6.6,543
Murder Company,War,86,3.6,1600
The Last Front,War,98,5.5,633
Laws of Man,War,98,5.5,1400
Air War,War,106,6.4,119
All the Lost Ones,War,106,3.6,269
Invasion,War,91,4.8,736
Kang Mak,War,122,6.4,872
"Love, Courage and the Battle of Bushy Run",War,113,5.0,190
Atatürk II: 1881-1919,War,141,8.9,2300
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,War,174,8.2,669
Call of Duty,War,0,8.6,13
WWII: Operation Phoenix,War,106,5.8,98
Hitler,War,128,5.2,312
Der Deserteur,War,93,9.5,21
Le quatrième mur,War,116,6.3,139
The Volunteers: The Battle of Life and Death,War,144,6.1,247
The Shamrock Spitfire,War,108,5.2,493
The Yin Yang Master Zero,War,112,5.7,286
Fortunes of War,War,85,3.6,182
Chhava,War,51,8.4,2200
Ei koskaan yksin,War,85,7.1,442
Red Poppies,War,122,4.7,332
The Battle for Kyiv,War,0,7.2,39
War Blade,War,94,3.9,254
The Epidemic,War,95,5.9,71
Aserb: The Squadron,War,120,5.2,319
Russians at War,War,129,2.0,1100
Bardejov,War,85,4.8,180
The Mousetrap,War,87,7.2,22
Pozyvnoy «Passazhir»,War,101,4.8,234
Occupied,War,77,0.0,0
Klitschko: More Than a Fight,War,96,6.3,512
The Liberation Men,War,90,6.6,90
Peter Brook's the Mahabharata (8K),War,173,0.0,0
White Courage,War,115,6.4,637
Hengyang 1944,War,0,8.2,18
Duffle Bag Boy,War,0,6.8,60
The Dugout,War,114,5.4,764
Operation Thule,War,160,0.0,0
Ludzie,War,117,6.5,54
Village of Death: Oradour-sur-Glane 1944,War,58,7.8,15
Dwie siostry,War,92,5.6,40
Haywire: Gunslingers,War,85,2.1,31
Bozji gnjev,War,111,7.2,59
Burning Stars,War,84,6.6,46
The Dakota War: Attack on Fort Ridgely,War,80,0.0,0
Drava se ne predaje,War,0,8.3,9
Burgemeestersmoord,War,0,6.4,87
